ID,Name,Type,Episodes,Aired,Members,Scores
39535,Mushoku Tensei: Isekai Ittara Honki Dasu,TV,11,Jan 2021 - Mar 2021,"1,456,215 members",8.35
2251,Baccano!,TV,13,Jul 2007 - Nov 2007,"933,299 members",8.35
777,Hellsing Ultimate,OVA,10,Feb 2006 - Dec 2012,"976,141 members",8.35
185,Initial D First Stage,TV,26,Apr 1998 - Dec 1998,"412,868 members",8.35
37822,Douluo Dalu 2nd Season,ONA,237,Dec 2018 - Jun 2023,"22,497 members",8.34
41025,Fumetsu no Anata e,TV,20,Apr 2021 - Aug 2021,"931,153 members",8.34
46654,IDOLiSH7 Third Beat! Part 2,TV,17,Oct 2022 - Feb 2023,"16,452 members",8.34
338,Versailles no Bara,TV,40,Oct 1979 - Sep 1980,"106,557 members",8.34
50407,Wu Shan Wu Xing: Xichuan Huan Zi Lin,ONA,4,Jul 2023 - Aug 2023,"16,494 members",8.34
10162,Usagi Drop,TV,11,Jul 2011 - Sep 2011,"511,713 members",8.33
2402,Ashita no Joe,TV,79,Apr 1970 - Sep 1971,"101,811 members",8.33
10030,Bakuman. 2nd Season,TV,25,Oct 2011 - Mar 2012,"363,359 members",8.33
31988,Hibike! Euphonium 2,TV,13,Oct 2016 - Dec 2016,"246,183 members",8.33
20651,Natsume Yuujinchou: Itsuka Yuki no Hi ni,OVA,1,Feb 2014 - Feb 2014,"83,926 members",8.33
13601,Psycho-Pass,TV,22,Oct 2012 - Mar 2013,"1,693,536 members",8.33
39587,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,TV,13,Jul 2020 - Sep 2020,"1,197,948 members",8.33
10937,Kidou Senshi Gundam: The Origin,OVA,6,Feb 2015 - May 2018,"79,295 members",8.32
22535,Kiseijuu: Sei no Kakuritsu,TV,24,Oct 2014 - Mar 2015,"1,957,526 members",8.32
5040,One Outs,TV,25,Oct 2008 - Apr 2009,"248,696 members",8.32
54870,Seishun Buta Yarou wa Randoseru Girl no Yume wo Minai,Movie,1,Dec 2023 - Dec 2023,"122,516 members",8.32
56752,Shiguang Dailiren: Yingdu Pian,ONA,6,Dec 2024 - Jan 2025,"47,635 members",8.32
41457,86,TV,11,Apr 2021 - Jun 2021,"874,907 members",8.32
5081,Bakemonogatari,TV,15,Jul 2009 - Jun 2010,"1,448,029 members",8.32
55644,Dr. Stone: New World Part 2,TV,11,Oct 2023 - Dec 2023,"355,161 members",8.32
28701,Fate/stay night: Unlimited Blade Works 2nd Season,TV,13,Apr 2015 - Jun 2015,"886,809 members",8.32
42886,Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,Movie,12,Mar 2022 - May 2022,"24,203 members",8.32
